Method,Selected Round,AUC-PR,Precision,Recall,F1,Best Threshold
Clean FL + Early Stopping,5,0.1313284531017433,0.0830451612903225,0.5590687977762335,0.1446097155439716,0.7
Uniform DP + Early Stopping,5,0.0609188099142735,0.0440047011233498,0.5594162612925643,0.0815912834156847,0.7
FLSS-Dyn + Early Stopping,2,0.0625574258612538,0.0499049094879199,0.4923558026407227,0.0906242005628037,0.7
