method,phase,round,auc_pr,fraud_precision,fraud_recall,fraud_f1,clip_norm,noise_multiplier
uniform_dp,test,1,0.02506347034264701,0.02808151093439364,0.3141070187630299,0.051554034787567725,1.0,0.5
uniform_dp,test,2,0.028423828048000335,0.020861953919221257,0.7387074357192495,0.04057793980111847,1.0,0.5
uniform_dp,test,3,0.042527846818783,0.10499359795134443,0.02849200833912439,0.04482098934135009,1.0,0.5
uniform_dp,test,4,0.051458191868639425,0.0462224947203488,0.4715079916608756,0.08419158704553915,1.0,0.5
uniform_dp,test,5,0.05434883080861166,0.037051696461947795,0.5854760250173732,0.06969289628787095,1.0,0.5
uniform_dp,test,6,0.056282722412486975,0.04139931440625824,0.4909659485753996,0.07635980437190953,1.0,0.5
uniform_dp,test,7,0.045191090704347826,0.02572173653313727,0.7779708130646282,0.049797053099805394,1.0,0.5
uniform_dp,test,8,0.04007823243486905,0.03473517674561383,0.5111188325225852,0.06504963849028235,1.0,0.5
uniform_dp,test,9,0.03814562827299042,0.026383783495818016,0.6883252258512856,0.05081963007619097,1.0,0.5
uniform_dp,test,10,0.04387034195257798,0.03937353629976581,0.46733842946490617,0.0726281116690966,1.0,0.5
