method,phase,round,auc_pr,fraud_precision,fraud_recall,fraud_f1,best_threshold,clip_norm,noise_multiplier,best_val_auc_pr_so_far
uniform_dp_earlystop,validation,1,0.01484755160194498,0.012214595300802555,0.7045454545454546,0.024012882972868296,0.7,1.0,0.5,0.01484755160194498
uniform_dp_earlystop,validation,2,0.030209980065685167,0.05316172355903749,0.11363636363636363,0.07243614182234083,0.7,1.0,0.5,0.030209980065685167
uniform_dp_earlystop,validation,3,0.033969788441476405,0.04881656804733728,0.23684210526315788,0.08094848732624693,0.7,1.0,0.5,0.033969788441476405
uniform_dp_earlystop,validation,4,0.03646839399134038,0.032101167315175094,0.4342105263157895,0.059782608695652176,0.7,1.0,0.5,0.03646839399134038
uniform_dp_earlystop,validation,5,0.04824035229351623,0.035582288571635624,0.5873205741626795,0.06709941920054663,0.7,1.0,0.5,0.04824035229351623
uniform_dp_earlystop,validation,6,0.031683105024332824,0.029272030651340996,0.4569377990430622,0.055019444044361224,0.7,1.0,0.5,0.04824035229351623
uniform_dp_earlystop,validation,7,0.03349435306415624,0.03259744739565367,0.45215311004784686,0.060810810810810814,0.7,1.0,0.5,0.04824035229351623
uniform_dp_earlystop,validation,8,0.032951169674368536,0.03976457077232271,0.33133971291866027,0.07100743399128429,0.7,1.0,0.5,0.04824035229351623
uniform_dp_earlystop,validation,9,0.02614937625486092,0.032234297292319025,0.20933014354066987,0.055865921787709494,0.5,1.0,0.5,0.04824035229351623
uniform_dp_earlystop,validation,10,0.025347510857627525,0.028909208460330654,0.37440191387559807,0.05367401183229015,0.7,1.0,0.5,0.04824035229351623
uniform_dp_earlystop,test,5,0.06091880991427354,0.044004701123349824,0.5594162612925643,0.08159128341568478,0.7,1.0,0.5,0.04824035229351623
